uai;nom_de_l_etablissement;nb_candidats_g;taux_de_reussite_g;taux_d_acces_6eme_3eme;nb_mentions_g;ips;ecart_type_de_l_ips
0611099N;COLLEGE PRIVE JEANNE D ARC;57;96.0;78.0;42;111.8;27.0
0620004T;COLLEGE DE L'EUROPE;186;98.0;94.0;164;94.2;31.4
0620021L;COLLEGE SEVIGNE;89;88.0;91.0;51;75.9;22.3
0620026S;COLLEGE DU VAL DU GY;106;92.0;96.0;74;94.6;31.7
0620031X;COLLEGE CARLIN LEGRAND;132;87.0;93.0;90;90.6;28.4
0620047P;COLLEGE GERMINAL;124;98.0;97.0;105;107.1;33.2
0620051U;COLLEGE ANGELLIER;68;100.0;81.0;55;75.7;27.7
0620055Y;COLLEGE PAUL LANGEVIN;73;85.0;91.0;39;62.8;17.1
0620071R;COLLEGE JEAN-JACQUES ROUSSEAU;104;88.0;94.0;70;94.5;31.8
0620073T;COLLEGE JEAN MONNET;88;91.0;90.0;55;103.1;33.8
0620119T;COLLEGE PIERRE ET MARIE CURIE;144;88.0;90.0;96;78.5;23.8
0620123X;COLLEGE RENE CASSIN;85;91.0;97.0;53;89.7;32.3
0620196B;COLLEGE JEAN JAURES;79;92.0;93.0;56;83.2;28.8
0620197C;COLLEGE ANITA CONTI;143;91.0;92.0;91;90.6;30.3
0622087G;COLLEGE BLAISE PASCAL;95;79.0;89.0;46;78.8;24.3
0622093N;COLLEGE PIERRE MENDES-FRANCE;136;87.0;91.0;88;90.7;29.5
0622117P;COLLEGE PRIVE SAINTE AUSTREBERTHE;94;99.0;88.0;84;123.8;28.3
0622119S;COLLEGE PRIVE SAINT BERTIN;32;97.0;76.0;28;100.5;29.8
0622121U;COLLEGE PRIVE SAINT LOUIS;37;100.0;73.0;34;111.2;23.0
0622136K;COLLEGE PRIVE SAINT JOSEPH;70;100.0;82.0;67;105.6;26.5
0622139N;COLLEGE PRIVE NOTRE-DAME;42;100.0;85.0;40;107.3;25.5
0622140P;COLLEGE PRIVE SAINTE JEANNE D'ARC;62;100.0;88.0;57;118.4;27.3
0622261W;COLLEGE PIERRE CUALLACCI;83;92.0;95.0;55;80.7;25.7
0622417R;COLLEGE MICHELET;114;82.0;84.0;64;77.1;26.1
0622423X;COLLEGE YOURI GAGARINE;77;97.0;94.0;56;76.1;23.6
0622795B;COLLEGE FRANCOIS RABELAIS;147;90.0;94.0;100;94.4;32.9
0622797D;COLLEGE LIBERTE;135;92.0;96.0;96;100.0;32.1
0623310L;COLLEGE GAMBETTA;90;94.0;91.0;59;96.6;39.2
0623314R;COLLEGE SIMONE SIGNORET;109;76.0;93.0;56;79.3;27.0
0623759Z;COLLEGE LES ARGOUSIERS;101;88.0;97.0;67;98.3;30.4
0623919Y;COLLEGE LEONARD DE VINCI;101;92.0;89.0;61;88.5;30.2
0630006P;COLLEGE JEAN AUGUSTE SENEZE;37;65.0;85.0;18;94.8;23.3
0630007R;COLLEGE MOLIERE;130;89.0;92.0;94;116.1;40.4
0630063B;COLLEGE HENRI POURRAT;123;94.0;91.0;93;122.6;35.8
0630072L;COLLEGE DE LA COMTE - HENRI BERTRAND;98;97.0;91.0;84;112.8;32.2
0631086N;COLLEGE PRIVE FRANC ROSIER;142;97.0;82.0;109;112.6;31.0
0631120A;COLLEGE GERARD PHILIPE;87;72.0;79.0;42;70.5;26.3
0631126G;COLLEGE LUCIE AUBRAC;120;71.0;82.0;63;95.9;33.6
0631199L;COLLEGE LA CHARME;122;69.0;79.0;58;67.8;21.5
0631688T;COLLEGE LA RIBEYRE;154;93.0;93.0;117;108.3;33.4
0640007K;COLLEGE D'OSSAU;58;97.0;90.0;45;106.5;32.3
0640036S;COLLEGE PIERRE JELIOTE;52;98.0;91.0;46;117.4;32.1
0640045B;COLLEGE DES REMPARTS;33;100.0;91.0;29;102.7;30.3
0640048E;COLLEGE DES CORDELIERS;81;98.0;92.0;70;102.3;33.5
0640141F;COLLEGE PRIVE ST JOSEPH;44;100.0;92.0;43;98.1;22.2
0640147M;COLLEGE PRIVE ST MICHEL GARICOITS;67;97.0;90.0;58;105.4;25.0
0640163E;COLLEGE PRIVE STE MARIE;99;100.0;92.0;91;115.5;23.9
0640214K;COLLEGE DANIEL ARGOTE;52;100.0;91.0;48;98.0;32.2
0640227Z;COLLEGE JEANNE D ALBRET;180;91.0;84.0;138;96.4;40.2
0640228A;COLLEGE IRANDATZ;165;85.0;88.0;123;104.4;33.7
0640229B;COLLEGE CHANTACO;73;89.0;95.0;59;105.2;30.2
0640608N;COLLEGE CLERMONT;116;84.0;85.0;72;83.1;31.7
0640609P;COLLEGE ALBERT CAMUS;101;91.0;86.0;74;83.7;27.9
0641391P;COLLEGE SIMIN PALAY;193;100.0;88.0;169;116.3;33.3
0641411L;COLLEGE ERNEST GABARD;105;89.0;89.0;76;107.9;35.5
0641560Y;COLLEGE GASTON FEBUS;100;99.0;92.0;90;108.9;32.7
0641652Y;COLLEGE PRIVE LARGENTE;110;99.0;90.0;90;124.3;29.9
0650017R;COLLEGE DE LA BAROUSSE;49;98.0;96.0;44;108.3;32.6
0650031F;COLLEGE DESAIX;100;80.0;89.0;67;89.9;34.6
0650033H;COLLEGE MASSEY;52;88.0;90.0;38;91.9;31.3
0650037M;COLLEGE D'ASTARAC-BIGORRE;46;96.0;88.0;38;105.0;27.4
0650835E;COLLEGE VICTOR HUGO;116;92.0;93.0;97;116.4;37.3
0650836F;COLLEGE CLIMATIQUE RENE BILLERES;106;97.0;89.0;93;115.3;32.1
0650838H;COLLEGE PIERRE MENDES FRANCE;128;90.0;90.0;102;101.1;31.6
0650880D;COLLEGE PRIVE JEANNE D'ARC;117;98.0;84.0;107;116.8;26.8
0651004N;COLLEGE PRIVE PRADEAU-LA SEDE;110;95.0;90.0;83;112.2;28.1
0660012E;COLLEGE JOSEPH SEBASTIEN PONS;112;82.0;90.0;68;68.7;16.7
0660058E;COLLEGE PRIVE SAINT-LOUIS-DE-GONZAGUE;273;100.0;91.0;258;121.4;28.0
0660061H;COLLEGE PRIVE MAINTENON;143;99.0;95.0;123;116.5;27.7
0660431K;COLLEGE LE RIBERAL;157;91.0;91.0;126;101.4;31.6
0660601V;COLLEGE JEAN AMADE;186;92.0;94.0;140;102.5;30.9
0660634F;COLLEGE CLIMATIQUE ET SPORTIF;100;97.0;93.0;83;116.4;32.1
0660653B;COLLEGE JULES VERNE;136;83.0;95.0;93;107.7;29.0
0660846L;COLLEGE PRIVE SAINT PIERRE DE LA MER;94;100.0;85.0;91;123.9;27.8
0660864F;COLLEGE FRANCOIS MITTERRAND;161;97.0;95.0;138;106.3;31.6
0660865G;COLLEGE PIERRE MENDES FRANCE;146;92.0;92.0;111;106.5;32.7
0670016D;COLLEGE KATIA ET MAURICE KRAFFT;102;94.0;93.0;90;106.8;34.5
0670017E;COLLEGE ROMAIN ROLLAND;187;93.0;95.0;148;106.4;34.1
0671593T;COLLEGE LOUISE WEISS;162;90.0;88.0;115;90.0;35.3
0671607H;COLLEGE PRIVE NOTRE DAME DE SION;170;100.0;73.0;151;127.8;30.5
0671688W;COLLEGE GEORGES HOLDERITH;64;97.0;96.0;60;108.1;34.7
0671907J;COLLEGE HANS ARP;167;85.0;88.0;104;73.2;25.4
0671911N;COLLEGE SIMONE VEIL;67;99.0;97.0;59;115.8;34.3
0671915T;COLLEGE INTERNATIONAL DE L'ESPLANADE;201;89.0;87.0;153;110.1;43.9
0671986V;COLLEGE LES SOURCES;133;86.0;92.0;95;95.2;36.8
0672013Z;COLLEGE PAUL-EMILE VICTOR;106;93.0;86.0;76;105.1;35.1
0672133E;COLLEGE NA;136;92.0;95.0;104;112.2;35.6
0672197Z;COLLEGE TOMI UNGERER;54;91.0;94.0;41;107.3;33.7
0672658A;COLLEGE LA PIERRE POLIE;75;88.0;93.0;60;117.2;33.4
0680111B;COLLEGE SAINT-EXUPERY;121;89.0;83.0;85;72.2;22.3
0680112C;COLLEGE LEON GAMBETTA;109;88.0;86.0;78;101.7;36.1
0680131Y;COLLEGE ECOLE PRIVEE DES MISSIONS;117;100.0;92.0;115;129.3;32.0
0680137E;COLLEGE PRIVE INSTITUTION SAINTE MARIE;33;76.0;61.0;16;99.3;31.5
0681267H;COLLEGE KATIA ET MAURICE KRAFFT;111;77.0;89.0;69;85.1;27.5
0681284B;COLLEGE WOLF;115;81.0;90.0;67;67.9;19.9
0681318N;COLLEGE MATHIAS GRUNEWALD;126;94.0;93.0;96;96.7;31.1
0681394W;COLLEGE JEAN-GEORGES REBER;61;93.0;100.0;47;84.1;27.9
0681663N;COLLEGE PRIVE COLLEGE EPISCOPAL;170;99.0;94.0;161;133.2;31.7
0681957H;COLLEGE PIERRE PFLIMLIN;108;82.0;91.0;67;85.2;31.9
0681961M;COLLEGE BEL AIR;107;77.0;87.0;63;85.0;32.5
0682017Y;COLLEGE NATHAN KATZ;120;98.0;97.0;105;114.8;33.3
0690001B;COLLEGE EUGENIE DE POMEY;68;97.0;93.0;52;104.4;30.6
0690015S;COLLEGE LE BASSENON;141;91.0;94.0;112;113.5;32.0
0690075G;COLLEGE PIERRE BROSSOLETTE;97;88.0;81.0;68;93.5;35.6
0690578D;COLLEGE PRIVE CHAMPAGNAT;96;100.0;91.0;91;124.1;29.2
0690581G;COLLEGE PRIVE SAINTE THERESE;40;98.0;94.0;35;103.8;28.9
0690672F;COLLEGE PRIVE SAINT VIATEUR;91;95.0;96.0;69;103.9;26.7
0691736M;COLLEGE JEAN DE TOURNES;164;87.0;92.0;121;119.0;37.6
0692155T;COLLEGE DES GRATTE-CIEL MORICE LEROUX;132;76.0;86.0;80;95.4;37.4
0692339T;COLLEGE GEORGES CLEMENCEAU;208;92.0;90.0;148;102.7;39.7
0692340U;COLLEGE HENRI LONGCHAMBON;109;87.0;83.0;76;76.6;22.9
0692343X;COLLEGE ELSA TRIOLET;133;83.0;83.0;84;67.3;19.6
0692417C;COLLEGE BORIS VIAN;132;83.0;90.0;75;88.7;31.3
0692419E;COLLEGE EMILE MALFROY;158;84.0;94.0;105;97.2;33.2
0692422H;COLLEGE JEAN ROSTAND;148;80.0;92.0;103;121.9;36.9
0692579D;COLLEGE MARTIN LUTHER KING;156;83.0;94.0;100;100.4;37.8
0692693C;COLLEGE AMPERE;129;91.0;85.0;95;121.7;41.7
0692865P;COLLEGE LOUIS LACHENAL;216;93.0;95.0;170;118.3;33.2
0692925E;COLLEGE PRIVE CHAMPAGNAT;93;100.0;97.0;85;112.8;29.1
0692934P;COLLEGE PRIVE LES CHARTREUX-ST CHARLES;84;100.0;90.0;84;140.2;22.0
0692936S;COLLEGE PRIVE NOTRE DAME DES MINIMES;143;100.0;93.0;142;129.5;28.2
0692945B;COLLEGE PRIVE IMMACULEE CONCEPTION;190;97.0;92.0;166;124.0;29.2
0693046L;COLLEGE LA PERRIERE;147;96.0;96.0;122;125.8;32.9
0693092L;COLLEGE HECTOR BERLIOZ;142;85.0;93.0;100;117.1;36.1
0693331W;COLLEGE LOUIS LEPRINCE RINGUET;208;95.0;96.0;177;124.8;34.1
0693834T;COLLEGE THEODORE MONOD;109;88.0;91.0;78;83.9;32.2
0693890D;COLLEGE GEORGES CHARPAK;181;98.0;90.0;159;124.7;34.0
0694295U;COLLEGE ALICE GUY;112;81.0;93.0;64;87.5;26.9
0694406P;COLLEGE SIMONE VEIL;102;86.0;89.0;68;88.8;28.6
0700005A;COLLEGE DUPLESSIS-DEVILLE;34;88.0;98.0;18;101.7;33.0
0700007C;COLLEGE DES COMBELLES;42;83.0;98.0;25;92.5;29.7
0700013J;COLLEGE RAYMOND GUEUX;63;86.0;91.0;42;105.4;32.6
0700026Y;COLLEGE ALBERT MATHIEZ;107;93.0;96.0;79;109.3;31.4
0700035H;COLLEGE CHARLES PEGUY;33;91.0;97.0;25;93.8;28.2
0700894S;COLLEGE CHATEAU RANCE;91;86.0;93.0;59;96.4;28.3
0700904C;COLLEGE ROBERT ET SONIA DELAUNAY;71;87.0;91.0;52;90.4;30.5
0710025S;COLLEGE LOUIS PERGAUD;57;100.0;94.0;48;106.7;30.8
0710039G;COLLEGE JULES FERRY;67;96.0;99.0;54;100.2;29.8
0710060E;COLLEGE ANNE FRANK;97;94.0;92.0;76;105.7;32.7
0710064J;COLLEGE EN FLEURETTE;63;89.0;91.0;41;99.7;30.7
0710073U;COLLEGE LES TROIS RIVIERES;74;97.0;98.0;62;97.8;26.9
0710154G;COLLEGE LE PETIT PRETAN;114;98.0;98.0;101;124.5;33.5
0710534V;COLLEGE ROBERT SCHUMAN;77;82.0;90.0;40;79.2;26.4
0711069B;COLLEGE LA CROIX MENEE;109;94.0;92.0;76;99.7;30.1
0711071D;COLLEGE JEAN MOULIN;85;98.0;93.0;67;105.8;30.1
0711323C;COLLEGE LES EPONTOTS;59;73.0;83.0;29;77.7;25.3
0711925G;COLLEGE NOTRE DAME;40;92.0;43.0;20;99.0;25.5
0720007S;COLLEGE GUILLAUME APOLLINAIRE;71;99.0;92.0;63;95.8;29.8
0720024K;COLLEGE BELLE-VUE;111;95.0;94.0;89;101.4;32.7
0720043F;COLLEGE JEAN MOULIN;52;94.0;95.0;32;92.5;27.2
0720046J;COLLEGE DES ALPES MANCELLES;58;97.0;100.0;42;104.0;30.7
0720058X;COLLEGE GABRIEL GOUSSAULT;75;92.0;96.0;56;94.1;30.0
0720069J;COLLEGE ALEXANDRE MAUBOUSSIN;63;81.0;93.0;38;87.2;28.1
0720808M;COLLEGE PRIVE ST MICHEL;46;100.0;86.0;41;101.2;24.9
0720815V;COLLEGE PRIVE SACRE COEUR;78;97.0;82.0;64;97.2;27.0
0720847E;COLLEGE LOUIS CORDELET;118;98.0;89.0;101;111.4;33.9
0720902P;COLLEGE PIERRE GILLES DE GENNES;74;82.0;92.0;44;78.3;25.0
0720906U;COLLEGE JEAN COCTEAU;92;80.0;90.0;42;96.6;36.7
0720988H;COLLEGE SUZANNE BOUTELOUP;69;91.0;87.0;49;89.5;27.4
0721044U;COLLEGE PAUL CHEVALLIER;58;100.0;94.0;56;98.6;29.7
0721086P;COLLEGE WILBUR WRIGHT;89;90.0;92.0;63;101.8;28.9
0721363R;COLLEGE BERTHELOT;146;85.0;85.0;99;101.7;40.4
0721365T;COLLEGE PAUL SCARRON;58;93.0;93.0;46;94.4;34.5
0721405L;COLLEGE PRIVE NOTRE DAME;104;99.0;95.0;91;112.1;29.5
0721657K;COLLEGE PRIVE ST THOMAS D'AQUIN;36;100.0;95.0;33;107.0;28.1
0730008M;COLLEGE JEAN ROSTAND;162;86.0;92.0;117;99.6;32.2
0730009N;COLLEGE SAINT EXUPERY;132;93.0;93.0;103;116.0;30.3
0730031M;COLLEGE DE L'EPINE;73;97.0;92.0;60;125.5;32.7
0730901H;COLLEGE COTE ROUSSE;145;79.0;94.0;79;78.6;31.8
0731041K;COLLEGE GARIBALDI;137;87.0;87.0;99;110.9;34.3
0731044N;COLLEGE PIERRE ET MARIE CURIE;192;90.0;95.0;147;110.3;33.4
0731113N;COLLEGE HENRY BORDEAUX;123;92.0;94.0;97;112.8;33.7
0740021W;COLLEGE LES RIVES DU LEMAN;201;85.0;93.0;130;110.8;35.9
0740025A;COLLEGE LE PARMELAN;195;96.0;95.0;168;123.5;31.6
0740040S;COLLEGE ANDRE CORBET;51;100.0;88.0;46;113.3;31.9
0740065U;COLLEGE LES BALMETTES;101;94.0;90.0;81;116.1;38.4
0740083N;COLLEGE PRIVE LES TILLEULS;118;99.0;91.0;112;123.9;29.4
0740116Z;COLLEGE PRIVE SAINT FRANCOIS;68;97.0;84.0;60;129.1;27.4
0740124H;COLLEGE PRIVE LA SALLE ANNECY - PRINGY;198;100.0;97.0;184;125.5;29.2
0740929H;COLLEGE RAOUL BLANCHARD;188;88.0;88.0;134;100.8;38.0
0741163M;COLLEGE PRIVE SAINT JOSEPH LA SALLE;157;100.0;95.0;151;122.0;28.1
0741227G;COLLEGE JEAN JACQUES ROUSSEAU;210;81.0;87.0;131;103.9;35.5
0741283T;COLLEGE PRIVE SAINT JOSEPH;115;100.0;90.0;109;126.2;28.1
0741488R;COLLEGE LA MANDALLAZ;151;93.0;95.0;127;114.4;32.0
0741666J;COLLEGE THEODORE MONOD;128;83.0;88.0;75;105.3;33.6
0741699V;COLLEGE SIMONE VEIL;107;97.0;98.0;97;118.6;36.9
0750182R;COLLEGE PRIVE SAINT-LOUIS;102;94.0;88.0;91;124.8;29.1
0750407K;COLLEGE ROGNONI;52;98.0;88.0;48;157.7;23.7
0750445B;COLLEGE ALBERTO GIACOMETTI;115;85.0;86.0;88;100.1;33.6
0750507U;COLLEGE GEORGES BRASSENS;139;84.0;91.0;102;102.5;41.5
0750546L;COLLEGE GEORGES CLEMENCEAU;84;69.0;86.0;42;80.0;31.8
0750550R;COLLEGE LUCIE FAURE;95;62.0;87.0;47;105.4;41.6
0750575T;COLLEGE SONIA DELAUNAY;83;77.0;95.0;46;92.4;36.8
0750609E;COLLEGE PAUL VERLAINE;137;82.0;93.0;89;121.2;38.2
0751705W;COLLEGE ALPHONSE DAUDET;125;83.0;87.0;89;104.6;40.8
0751791P;COLLEGE CONDORCET;198;96.0;91.0;177;144.1;35.1
0752190Y;COLLEGE GUILLAUME APOLLINAIRE;107;90.0;83.0;80;99.5;35.8
0752251P;COLLEGE LOUISE MICHEL;110;95.0;82.0;89;125.4;40.6
0752529S;COLLEGE CHAPTAL;116;98.0;93.0;104;143.9;33.0
0752534X;COLLEGE LAMARTINE;94;99.0;96.0;85;138.4;38.3
0752536Z;COLLEGE VOLTAIRE;111;93.0;89.0;88;124.3;40.7
0752537A;COLLEGE PAUL VALERY;104;86.0;84.0;69;109.0;42.2
0752539C;COLLEGE CLAUDE MONET;111;96.0;96.0;92;126.2;39.2
0752543G;COLLEGE PAUL BERT;87;89.0;85.0;66;129.8;36.0
0752544H;COLLEGE FRANCOIS VILLON;118;76.0;86.0;72;92.4;29.9
0752549N;COLLEGE JEAN-BAPTISTE SAY;173;92.0;93.0;149;147.5;30.0
0752550P;COLLEGE JEAN DE LA FONTAINE;193;95.0;92.0;163;135.3;35.4
0752553T;COLLEGE HONORE DE BALZAC;208;90.0;94.0;167;125.5;42.5
0752554U;COLLEGE STEPHANE MALLARME;201;88.0;94.0;144;124.0;39.0
0752829T;COLLEGE BERNARD PALISSY;77;90.0;84.0;54;126.6;42.6
0752894N;COLLEGE PRIVE SAINTE-JEANNE ELISABETH;125;100.0;87.0;125;147.2;17.6
0752902X;COLLEGE PRIVE LES FRANCS BOURGEOIS;242;100.0;95.0;236;142.0;22.2
0752906B;COLLEGE PRIVE YABNE;151;100.0;94.0;151;136.6;21.8
0752936J;COLLEGE PRIVE L'ASSOMPTION;133;100.0;78.0;133;139.6;20.4
0753369E;COLLEGE PRIVE BETH HANNA;103;97.0;87.0;93;126.2;34.0
0754005W;COLLEGE PRIVE SAINT-GERMAIN DE CHARONNE;118;100.0;91.0;107;125.8;31.2
0754305X;COLLEGE ANDRE CITROEN;145;87.0;82.0;104;106.8;38.1
0754757N;COLLEGE PRIVE NOTRE-DAME DE SION;98;99.0;92.0;97;144.8;16.6
0755052J;COLLEGE PRIVE N'R HATORAH;34;100.0;75.0;32;125.9;26.9
0755840R;COLLEGE PRIVE CATHERINE LABOURE;49;94.0;67.0;43;126.9;26.6
0760017F;COLLEGE LE CEDRE;78;96.0;86.0;63;93.4;33.7
0760069M;COLLEGE LES ACACIAS;92;95.0;85.0;70;90.1;31.1
0760086F;COLLEGE LOUIS PASTEUR;132;95.0;94.0;92;95.8;33.5
0760105B;COLLEGE CLAUDE MONET;151;89.0;94.0;100;93.0;29.1
0761695E;COLLEGE SAINT-EXUPERY;115;95.0;91.0;94;96.6;30.7
0761730T;COLLEGE PRIVE LA PROVIDENCE-NAZARETH;39;95.0;89.0;36;110.7;28.9
0761741E;COLLEGE ANDRE GIDE;122;83.0;91.0;70;101.7;29.3
0761782Z;COLLEGE EUGENE VARLIN;67;73.0;77.0;28;69.3;18.8
0761786D;COLLEGE GEORGES BRAQUE;98;85.0;90.0;61;101.9;36.1
0762084C;COLLEGE VICTOR HUGO;113;90.0;96.0;81;100.4;32.7
0762091K;COLLEGE FONTENELLE;221;94.0;92.0;182;115.2;44.3
0762107C;COLLEGE HENRY DUNANT;54;78.0;97.0;28;83.1;23.4
0762123V;COLLEGE ANDRE RAIMBOURG DIT BOURVIL;84;99.0;95.0;66;96.1;31.7
0762125X;COLLEGE JEAN COCTEAU;122;93.0;94.0;94;111.0;32.4
0762126Y;COLLEGE LOUIS BOUILHET;79;90.0;96.0;49;90.8;26.9
0762170W;COLLEGE LOUIS-PHILIPPE;121;92.0;95.0;80;92.3;31.3
0771172F;COLLEGE ALBERT CAMUS;95;92.0;86.0;69;72.7;20.9
0771337K;COLLEGE ELSA TRIOLET;184;81.0;96.0;102;84.2;28.8
0771422C;COLLEGE DE LA VALLEE;103;92.0;96.0;70;91.6;37.2
0772331R;COLLEGE MONTHETY;128;85.0;94.0;85;110.2;32.8
0772396L;COLLEGE MARIA CALLAS;151;91.0;98.0;110;114.5;31.8
0772601J;COLLEGE PRIVE MAURICE RONDEAU;91;100.0;98.0;88;138.4;23.2
0851290R;COLLEGE PRIVE STE URSULE;153;95.0;96.0;122;101.8;24.0
0851304F;COLLEGE AUGUSTE ET JEAN RENOIR;130;88.0;92.0;90;95.3;32.7
0860053R;COLLEGE CAMILLE CLAUDEL;45;98.0;92.0;38;96.4;26.1
0860753B;COLLEGE PRIVE SAINT GABRIEL-NOTRE DAME;104;93.0;85.0;94;113.4;28.6
0860759H;COLLEGE PRIVE UNION CHRETIENNE;99;100.0;72.0;94;131.2;27.5
0860762L;COLLEGE PRIVE LA SALLE -SAINT MARTIN;30;93.0;89.0;19;101.3;25.0
0860763M;COLLEGE PRIVE ST PIERRE;45;84.0;93.0;29;95.8;25.9
0860799B;COLLEGE JULES VERNE;117;82.0;93.0;74;80.5;30.7
0861072Y;COLLEGE FRANCE BLOCH-SERAZIN;124;86.0;82.0;94;108.7;34.8
0870072F;COLLEGE ANDRE MAUROIS;150;73.0;88.0;73;84.7;33.0
0870083T;COLLEGE PRIVE OZANAM;114;100.0;93.0;109;130.8;27.1
0870117E;COLLEGE ALBERT CALMETTE;123;75.0;90.0;65;96.4;34.4
0881386D;COLLEGE DU PERVIS;44;91.0;91.0;31;97.4;27.1
0890013F;COLLEGE PIERRE ET JEAN LEROUGE;85;94.0;98.0;67;98.6;30.9
0890017K;COLLEGE PAUL FOURREY;80;82.0;90.0;46;87.2;24.9
0890788Y;COLLEGE LA CROIX DE L'ORME;119;86.0;97.0;76;106.9;31.6
0890823L;COLLEGE RESTIF DE LA BRETONNE;133;82.0;96.0;78;97.9;26.3
0891043A;COLLEGE JEAN BERTIN;132;86.0;93.0;93;110.8;34.7
0891093E;COLLEGE MONTPEZAT;95;79.0;86.0;50;98.4;33.3
0910009R;COLLEGE LOUIS PASTEUR;199;94.0;95.0;166;122.3;35.7
0910028L;COLLEGE MICHEL VIGNAUD;173;99.0;97.0;144;132.6;34.2
0910045E;COLLEGE CHARLES PEGUY;105;90.0;90.0;86;133.8;40.0
0910773W;COLLEGE LE SAUSSAY;166;89.0;96.0;108;110.0;32.1
0910967G;COLLEGE LA GUYONNERIE;120;85.0;85.0;90;135.9;38.9
0910968H;COLLEGE ALAIN FOURNIER;144;99.0;94.0;132;141.7;35.5
0911022S;COLLEGE ANDRE DUNOYER DE SEGONZAC;188;88.0;94.0;115;102.6;35.4
0911127F;COLLEGE MONDETOUR;147;90.0;89.0;81;92.6;30.6
0911150F;COLLEGE MARIE CURIE;160;81.0;91.0;94;103.9;29.9
0911341N;COLLEGE LA TUILERIE;243;92.0;94.0;172;115.3;31.6
0911570M;COLLEGE LEOPOLD SEDAR SENGHOR;119;82.0;97.0;47;73.9;23.0
0911754M;COLLEGE ROSA LUXEMBOURG;115;90.0;92.0;77;113.4;32.5
0920882J;COLLEGE VICTOR HUGO;123;86.0;94.0;81;94.9;29.9
0920936T;COLLEGE PRIVE SAINTE JEANNE D ARC;33;100.0;86.0;33;143.1;18.0
0921007V;COLLEGE PRIVE SAINT JUSTIN;182;99.0;92.0;174;143.0;20.9
0921181J;COLLEGE PIERRE BROSSOLETTE;140;88.0;97.0;101;129.1;35.0
0921589C;COLLEGE EVARISTE GALOIS;95;93.0;93.0;68;83.7;26.0
0921914F;COLLEGE PRIVE ST DOMINIQUE;194;100.0;96.0;194;148.6;11.6
0922020W;COLLEGE LES RENARDIERES;108;90.0;90.0;80;111.9;36.5
0922143E;COLLEGE YVES DU MANOIR;77;97.0;96.0;67;137.5;37.0
0922450N;COLLEGE PRIVE NOTRE DAME;226;100.0;92.0;225;146.5;15.7
0922578C;COLLEGE GEORGES SEURAT;161;84.0;85.0;106;117.3;37.6
0931201A;COLLEGE PAUL BERT;157;92.0;94.0;100;85.3;27.3
0851160Z;COLLEGE PRIVE ANTOINE DE ST EXUPERY;166;98.0;96.0;148;100.9;27.1
0851195M;COLLEGE F ET I JOLIOT-CURIE;49;100.0;89.0;46;101.0;28.8
0870042Y;COLLEGE PAUL LANGEVIN;119;92.0;93.0;96;102.9;30.6
0870120H;COLLEGE LOUIS JOUVET;54;87.0;89.0;35;92.8;29.3
0010035H;COLLEGE LOUIS LUMIERE;125;90.0;93.0;88;78.1;30.4
0010041P;COLLEGE VAUGELAS;195;96.0;94.0;166;115.0;35.4
0010079F;COLLEGE PRIVE SAINT JOSEPH;110;94.0;82.0;87;111.2;28.6
0010097A;COLLEGE PRIVE LA SIDOINE;143;100.0;92.0;142;125.0;27.6
0010823P;COLLEGE DE BROU;116;78.0;88.0;80;97.3;34.7
0010975E;COLLEGE JACQUES PREVERT;160;83.0;90.0;112;105.4;31.3
0011011U;COLLEGE MARCEL ANTHONIOZ;127;89.0;78.0;101;126.6;34.5
0011388D;COLLEGE LE PARUTHIOL;166;96.0;90.0;138;108.9;33.5
0011415H;COLLEGE DU VAL DE SAONE;157;87.0;97.0;109;116.0;31.7
0020030X;COLLEGE CAMILLE DESMOULINS;63;70.0;96.0;35;78.4;21.4
0020054Y;COLLEGE MONTAIGNE;64;78.0;84.0;41;67.7;21.7
0020065K;COLLEGE ALAN SEEGER;62;81.0;88.0;39;96.3;29.0
0020469Z;COLLEGE PRIVE SAINT CHARLES;54;100.0;83.0;50;108.6;30.2
0020471B;COLLEGE PRIVE LA PROVIDENCE;45;98.0;85.0;38;115.5;29.0
0020473D;COLLEGE PRIVE ST JEAN LA CROIX;208;98.0;92.0;183;117.5;29.6
0021489H;COLLEGE CHARLES DE GAULLE;43;81.0;94.0;24;81.8;26.4
0021493M;COLLEGE VICTOR HUGO;129;84.0;87.0;87;90.9;27.0
0021494N;COLLEGE PAUL ELUARD;100;87.0;93.0;73;91.1;29.1
0021598B;COLLEGE JEAN MERMOZ;121;83.0;94.0;87;98.7;32.0
0021689A;COLLEGE ANTOINE NICOLAS DE CONDORCET;78;81.0;99.0;48;83.6;29.0
0030009U;COLLEGE EMILE GUILLAUMIN;57;89.0;96.0;46;94.9;28.6
0030017C;COLLEGE JOSEPH HENNEQUIN;106;86.0;96.0;67;100.0;31.9
0030018D;COLLEGE GEORGE SAND;64;88.0;95.0;44;100.9;29.9
0030046J;COLLEGE CHARLOTTE DELBO;42;79.0;89.0;26;97.1;27.7
0030047K;COLLEGE ALAIN FOURNIER;56;95.0;96.0;42;90.6;25.2
0030048L;COLLEGE ANTOINE DE ST EXUPERY;69;88.0;89.0;47;83.7;25.9
0030837U;COLLEGE FRANCOIS VILLON;125;89.0;91.0;86;104.3;32.0
0040462F;COLLEGE PRIVE ST CHARLES;100;97.0;98.0;83;126.6;28.3
0050019U;COLLEGE VIVIAN MAIER;106;95.0;90.0;74;110.5;28.5
