uai;nom_de_l_etablissement;nb_candidats_g;taux_de_reussite_g;taux_d_acces_6eme_3eme;nb_mentions_g;ips;ecart_type_de_l_ips
0911252S;COLLEGE LES GATINES-RENE CASSIN;251;97.0;96.0;175;114.4;36.3
0911253T;COLLEGE PABLO NERUDA;134;88.0;91.0;79;65.1;17.7
0911255V;COLLEGE ALBERT CAMUS;127;82.0;94.0;81;116.7;34.4
0911256W;COLLEGE DU PONT DE BOIS;163;76.0;91.0;97;112.9;31.6
0911257X;COLLEGE JEAN MOULIN;175;89.0;93.0;117;112.4;34.2
0911340M;COLLEGE CHARLES PEGUY;139;86.0;93.0;83;110.4;31.3
0911441X;COLLEGE PIERRE RONSARD;124;93.0;93.0;88;106.2;32.8
0911491B;COLLEGE CONDORCET;155;90.0;94.0;114;110.0;34.1
0912175V;COLLEGE LA FONTAINE AUX BERGERS;166;95.0;94.0;129;116.1;31.6
0920077J;COLLEGE JEAN PERRIN;138;91.0;91.0;90;105.2;34.3
0920626F;COLLEGE LAKANAL;116;94.0;89.0;95;127.0;37.8
0920689Z;COLLEGE JEAN MOULIN;170;84.0;92.0;122;129.1;37.7
0920700L;COLLEGE GOUNOD;100;92.0;93.0;73;137.9;36.5
0920880G;COLLEGE PAUL ELUARD;123;87.0;92.0;94;113.9;34.1
0921170X;COLLEGE LA FONTAINE;132;91.0;90.0;105;139.1;37.2
0921228K;COLLEGE JEAN MACE;183;80.0;92.0;96;95.0;33.0
0921239X;COLLEGE JEAN RENOIR;168;84.0;92.0;110;120.0;35.5
0921494Z;COLLEGE GAY LUSSAC;119;87.0;84.0;73;94.6;35.0
0921507N;COLLEGE FRANCOIS FURET;140;99.0;86.0;131;146.9;31.7
0921541A;COLLEGE PASTEUR;163;88.0;96.0;113;89.4;26.2
0921621M;COLLEGE GUY MOQUET;176;88.0;94.0;111;85.4;28.3
0921783N;COLLEGE MICHELET;144;96.0;98.0;129;141.3;34.0
0921784P;COLLEGE LAKANAL;142;93.0;93.0;115;146.9;33.4
0921906X;COLLEGE PRIVE SOPHIE BARAT;205;100.0;98.0;197;145.5;20.7
0921907Y;COLLEGE PRIVE SAINT THOMAS DE VILLENEUVE;154;100.0;94.0;152;148.9;14.1
0921915G;COLLEGE PRIVE LA SALLE PASSY BUZENVAL;284;100.0;91.0;280;148.1;15.2
0921918K;COLLEGE PRIVE SAINTE JEANNE D ARC;147;100.0;95.0;136;139.8;23.8
