nb_candidats_g,taux_de_reussite_g,taux_d_acces_6eme_3eme,nb_mentions_g,ips,ecart_type_de_l_ips
165,99.0,90.0,150,122.4,27.3
65,94.0,96.0,57,118.1,28.2
116,85.0,90.0,76,89.2,28.4
139,89.0,95.0,106,107.8,37.1
125,84.0,88.0,83,97.3,34.4
56,86.0,79.0,30,81.7,30.9
105,92.0,88.0,80,108.7,34.9
64,98.0,88.0,62,123.6,29.3
220,91.0,88.0,177,115.1,30.6
125,94.0,97.0,98,117.7,32.5
74,81.0,82.0,42,93.4,29.3
86,95.0,97.0,65,95.9,29.3
100,77.0,94.0,59,98.6,29.5
179,98.0,95.0,145,98.2,28.2
136,85.0,92.0,87,96.1,24.4
128,81.0,90.0,76,94.8,30.9
34,97.0,84.0,25,106.4,27.0
151,99.0,95.0,144,115.0,28.7
71,100.0,82.0,62,123.0,30.9
116,89.0,89.0,79,88.0,29.2
147,84.0,92.0,79,95.2,33.6
42,79.0,91.0,23,93.7,29.5
108,90.0,95.0,78,107.6,34.9
124,94.0,92.0,93,102.2,30.4
119,99.0,93.0,108,133.1,26.4
113,98.0,96.0,92,110.0,29.0
90,74.0,92.0,54,93.6,26.7
101,94.0,94.0,73,107.0,31.2
151,89.0,95.0,94,104.8,30.2
102,76.0,87.0,56,100.2,30.6
64,91.0,95.0,40,108.3,26.8
74,100.0,92.0,67,113.8,23.9
167,86.0,92.0,117,112.4,36.7
104,70.0,91.0,49,81.1,25.5
79,80.0,90.0,49,94.7,29.6
193,84.0,90.0,134,113.3,32.8
88,97.0,97.0,76,109.4,34.0
50,84.0,94.0,32,106.6,28.8
141,91.0,94.0,99,101.1,27.2
55,98.0,88.0,50,103.4,29.0
41,95.0,89.0,30,109.4,36.8
96,100.0,99.0,89,107.3,29.8
144,85.0,89.0,109,108.6,33.9
95,97.0,97.0,83,114.0,32.0
68,79.0,73.0,35,73.1,21.5
97,97.0,92.0,77,95.0,24.4
81,95.0,96.0,68,126.7,28.9
255,99.0,90.0,226,113.0,27.4
72,89.0,88.0,53,103.9,33.0
141,96.0,91.0,121,110.7,32.2
163,94.0,89.0,131,113.4,35.2
116,100.0,91.0,106,103.1,30.0
71,99.0,85.0,63,114.0,27.1
247,99.0,87.0,224,107.8,24.4
97,99.0,94.0,86,116.1,25.8
73,79.0,80.0,53,102.6,37.1
60,88.0,69.0,42,114.3,27.3
190,100.0,92.0,179,129.5,34.8
90,100.0,88.0,85,106.8,26.3
149,100.0,88.0,141,120.4,30.1
117,98.0,92.0,97,114.9,28.4
68,100.0,82.0,44,132.4,33.4
41,80.0,91.0,29,88.2,29.2
143,87.0,94.0,93,104.4,32.1
105,87.0,87.0,87,121.8,36.4
127,75.0,87.0,75,79.8,26.3
219,91.0,95.0,163,111.4,35.6
102,100.0,98.0,102,126.3,26.6
48,83.0,94.0,34,100.9,32.5
89,87.0,98.0,56,107.2,30.4
67,88.0,96.0,41,99.2,31.7
147,89.0,94.0,120,114.4,40.5
81,98.0,92.0,69,93.2,33.5
187,91.0,87.0,149,118.8,43.3
223,83.0,89.0,136,91.4,33.0
140,99.0,94.0,133,139.7,24.9
72,86.0,83.0,56,102.1,38.6
221,84.0,86.0,162,123.1,43.2
43,98.0,82.0,32,94.2,29.1
131,95.0,93.0,100,109.2,34.9
134,90.0,92.0,93,110.4,30.2
104,80.0,93.0,62,105.6,32.6
113,96.0,81.0,96,121.0,29.8
80,89.0,87.0,49,98.5,35.0
109,91.0,92.0,84,100.2,33.2
139,84.0,95.0,92,100.0,33.9
53,87.0,89.0,37,109.8,32.8
48,100.0,91.0,38,110.9,31.3
161,95.0,94.0,144,123.2,39.3
95,78.0,84.0,58,94.7,28.1
197,86.0,95.0,147,99.5,35.9
78,78.0,83.0,47,91.8,34.2
82,73.0,77.0,40,80.8,29.3
43,91.0,89.0,33,108.9,29.0
67,99.0,92.0,58,123.5,27.5
142,100.0,94.0,126,119.7,29.1
121,97.0,94.0,105,134.2,36.5
109,81.0,95.0,68,84.4,30.8
125,85.0,93.0,74,99.2,33.8
99,82.0,91.0,69,118.7,36.8
71,83.0,89.0,39,72.7,24.9
121,93.0,90.0,100,111.0,38.5
95,74.0,82.0,54,78.1,24.1
144,88.0,92.0,108,119.1,42.1
112,79.0,95.0,73,96.6,32.7
191,85.0,90.0,119,87.4,30.7
107,93.0,96.0,84,117.7,36.2
105,90.0,92.0,82,101.7,33.8
146,99.0,89.0,135,119.8,30.7
113,81.0,93.0,64,88.3,25.8
86,91.0,88.0,74,116.1,31.4
174,80.0,95.0,110,101.2,29.7
117,97.0,96.0,102,123.7,35.1
163,96.0,93.0,146,116.1,34.0
161,92.0,93.0,119,120.8,36.9
96,94.0,94.0,78,103.5,28.1
48,85.0,89.0,32,100.2,29.3
55,87.0,94.0,39,100.2,32.9
45,98.0,94.0,43,97.8,24.7
121,93.0,92.0,92,108.4,32.8
51,92.0,97.0,41,96.5,36.3
138,94.0,83.0,119,116.9,34.1
93,89.0,93.0,71,106.8,25.0
51,94.0,91.0,34,97.3,27.3
108,90.0,95.0,80,103.2,30.8
99,99.0,86.0,91,101.7,30.0
98,95.0,91.0,77,107.0,27.7
128,99.0,92.0,107,107.1,30.1
112,85.0,90.0,84,102.3,33.8
112,88.0,90.0,69,72.5,25.2
60,97.0,96.0,41,96.6,28.1
52,83.0,94.0,32,93.2,28.9
69,84.0,93.0,42,93.6,28.8
33,97.0,87.0,22,115.0,23.0
60,97.0,76.0,48,111.9,21.5
74,82.0,77.0,52,120.1,31.7
158,93.0,85.0,124,111.6,35.3
78,79.0,91.0,39,93.3,29.0
121,88.0,95.0,83,108.6,35.9
90,84.0,91.0,63,100.9,29.9
46,98.0,98.0,39,104.6,35.5
101,89.0,98.0,79,107.2,33.0
190,89.0,92.0,145,103.5,31.7
125,93.0,89.0,97,104.7,29.6
